"rental_date","return_date","full_name","email","address_id","postal_code","phone"
"2005-07-07 00:26:43","2005-07-16 03:58:43","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-08 02:22:45","2005-07-14 20:53:45","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-11 00:16:35","2005-07-20 01:30:35","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-11 17:23:33","2005-07-12 16:27:33","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-12 00:27:08","2005-07-14 03:12:08","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-28 07:15:32","2005-08-06 05:00:32","Abney, Rafael","rafael.abney@sakilacustomer.org",510,"1570","82671830126"
"2005-07-06 10:47:35","2005-07-15 09:39:35","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-06 10:49:30","2005-07-13 10:44:30","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-07 18:04:16","2005-07-15 17:58:16","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-08 14:36:51","2005-07-12 15:28:51","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-09 08:35:05","2005-07-18 14:21:05","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-27 14:25:17","2005-08-04 10:02:17","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-27 22:38:05","2005-07-30 17:20:05","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-28 07:58:27","2005-08-01 02:48:27","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-28 10:23:48","2005-08-02 12:09:48","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-28 12:51:22","2005-07-30 12:19:22","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-29 06:02:11","2005-08-07 03:23:11","Adam, Nathaniel","nathaniel.adam@sakilacustomer.org",509,"37469","111177206479"
"2005-07-07 08:15:03","2005-07-11 10:56:03","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-08 04:58:48","2005-07-10 04:27:48","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-08 14:54:42","2005-07-12 18:08:42","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-09 20:07:09","2005-07-12 18:33:09","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-11 02:37:51","2005-07-16 22:34:51","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-27 09:06:13","2005-08-05 07:11:13","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-28 01:35:17","2005-08-01 00:14:17","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-28 11:59:45","2005-08-06 11:19:45","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-28 18:35:12","2005-07-30 15:44:12","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-29 05:52:50","2005-08-03 04:45:50","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-30 03:20:38","2005-08-02 02:54:38","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-30 18:52:19","2005-08-01 12:53:19","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-31 11:11:10","2005-08-03 07:36:10","Adams, Kathleen","kathleen.adams@sakilacustomer.org",40,"38145","481183273622"
"2005-07-06 11:06:57","2005-07-09 14:16:57","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-06 12:01:38","2005-07-15 10:46:38","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-08 23:35:53","2005-07-14 22:46:53","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-10 03:12:08","2005-07-14 03:09:08","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-10 08:42:42","2005-07-19 03:48:42","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-10 09:44:32","2005-07-12 13:38:32","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-28 19:31:48","2005-07-30 01:09:48","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
"2005-07-29 07:23:43","2005-08-04 10:52:43","Alexander, Diana","diana.alexander@sakilacustomer.org",100,"30695","6171054059"
